	#Master Report ASCII Export File
        #	PLANT:		Surry
        #	UNIT: 		1
        #	SG: 		1B
        #	DATABASE:	SURRY_1R27_SGB  DATE: OCT. 29,2016  7:56 

#FORMAT: ROW,COL,VOLTS,DEG,PCT,CHN,LOCATION,ELEV_FROM,ELEV_TO,EXTENT,UTIL 1,UTIL 2,NAME,TYPE,CAL,LEG,PROBE,S/N #
   1,  6,10.84,190,INR,1,07H,1.31,,07HTEH,,,S4373,resolution,SG1BHCAL00017,H,720HS,707232
   1,  6,3.49,7,BLG,1,06C,43.66,,07CTEC,HR,,C3274,resolution,SG1BCCAL00011,C,720UC,659855
   1,  6,,,NDF,,06C,43.66,,06C07C,,,L7871,secondary,SG1BCCAL00025,C,720PP,654547
   1,  7,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1,  7,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1,  7,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1,  7,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1,  7,0.33,106,VOL,226,TSH,0.34,,BPHTEH,,,W1424,resolution,SG1BHCAL00020,H,720XP,708350
   1,  8,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1,  8,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1,  8,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1,  8,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1,  8,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 10,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 10,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 10,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 10,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 10,0.52,154,DDH,5,04C,48.71,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 10,2.65,179,DNT,1,04C,48.71,,07CTEC,HR,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 11,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 11,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 11,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 11,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 11,3.04,184,DNT,1,07H,1.19,,07HTEH,HR,,C9309,resolution,SG1BHCAL00018,H,720HS,707230
   1, 12,,,RIC,,,,,TSCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 12,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00009,C,720XP,690861
   1, 12,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 12,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 12,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 12,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 12,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 13,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 13,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 13,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 13,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 13,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 14,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 14,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 14,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 14,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 14,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 15,,,,,,,,07CTEC,,,L3362,secondary,SG1BCCAL00011,C,720UC,659855
   1, 15,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 15,,,RIC,,,,,TSCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 15,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 15,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 15,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00010,C,720XP,708350
   1, 16,,,RIC,,,,,TSCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 16,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 16,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 16,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 16,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 16,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00009,C,720XP,690861
   1, 17,,,RIC,,,,,TSCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 17,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00009,C,720XP,690861
   1, 17,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 17,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 17,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 17,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 18,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 18,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 18,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 18,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 18,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 19,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 19,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 19,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 19,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 19,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 20,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 20,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 20,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 20,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 20,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 21,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 21,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 21,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 21,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 21,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 22,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 22,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 22,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 22,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 22,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 23,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 23,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 23,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 23,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 23,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 24,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 24,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 24,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 24,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 24,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 25,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 25,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00029,H,720HS,707232
   1, 25,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 25,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 25,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 25,,,RIC,,,,,06HTEH,,,S7752,auto,SG1BHCAL00018,H,720HS,707230
   1, 26,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 26,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 26,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 26,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 26,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 27,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 27,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 27,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 27,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 27,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 29,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 29,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 29,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 29,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 29,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 30,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 30,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 30,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 30,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 30,0.41,71,MBM,90,TSH,14.54,,01HTEH,HR,,W1424,resolution,SG1BHCAL00020,H,720XP,708350
   1, 31,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 31,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 31,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 31,0.18,91,NQS,3,TSH,0.93,,07HTEH,HR,,D3162,resolution,SG1BHCAL00017,H,720HS,707232
   1, 31,0.37,130,NQS,3,TSH,1.42,,07HTEH,HR,,D3162,resolution,SG1BHCAL00017,H,720HS,707232
   1, 31,0.51,134,NQS,3,TSC,1.44,,07CTEC,HR,,C3274,resolution,SG1BCCAL00011,C,720UC,659855
   1, 32,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 32,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 32,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 32,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 32,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 33,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 33,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 33,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 33,0.18,123,NQH,3,TSH,3.19,,07HTEH,,,C9309,resolution,SG1BHCAL00016,H,720HS,707230
   1, 33,3.42,188,DNT,1,01C,7.49,,07CTEC,HR,,C3274,resolution,SG1BCCAL00012,C,720UC,666101
   1, 35,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 35,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 35,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 35,5.59,188,DNT,1,TSH,5.46,,07HTEH,HR,,C3274,resolution,SG1BHCAL00015,H,720HS,707232
   1, 35,0.42,157,INR,3,TSH,5.88,,07HTEH,,,S4373,resolution,SG1BHCAL00015,H,720HS,707232
   1, 35,0.48,142,DDH,5,TSC,1.17,,07CTEC,,,C3274,resolution,SG1BCCAL00011,C,720UC,659855
   1, 36,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 36,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00005,C,720XP,690861
   1, 36,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 36,,,RAS,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 36,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 36,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 37,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 37,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 37,0.30,115,NQH,3,TSH,4.03,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 37,0.87,92,MBM,46,TSC,30.53,,01CTEC,HR,,G7081,resolution,SG1BCCAL00001,C,720XP,690861
   1, 37,4.21,83,MBH,6,TSC,30.75,,07CTEC,,,C3274,resolution,SG1BCCAL00012,C,720UC,666101
   1, 38,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 38,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 38,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 38,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 38,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 39,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 39,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 39,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 39,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 39,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 40,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 40,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1, 40,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 40,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 40,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 41,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 41,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 41,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 41,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 41,0.24,135,NQH,3,TSC,26.71,,07CTEC,,,C3274,resolution,SG1BCCAL00012,C,720UC,666101
   1, 42,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 42,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 42,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 42,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 42,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 43,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 43,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 43,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1, 43,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 43,0.49,85,MBM,138,TSC,13.61,,01CTEC,HR,,C9309,resolution,SG1BCCAL00002,C,720XP,708350
   1, 44,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 44,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 44,,,,,,,,07C07H,,,C9309,secondary,SG1BCCAL00021,C,6801P,669070
   1, 44,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 44,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 45,,,,,,,,07HTEH,,,W6070,auto,SG1BHCAL00016,H,720HS,707230
   1, 45,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 45,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 45,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 45,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 46,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1, 46,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 46,,,,,,,,01CTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1, 46,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 46,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 47,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00015,H,720HS,707232
   1, 47,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1, 47,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 47,,,,,,,,01HTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1, 47,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 48,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00005,C,720XP,690861
   1, 48,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 48,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 48,,,,,,,,01HTEH,,,W6070,auto,SG1BHCAL00025,H,720XP,690861
   1, 48,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 49,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00005,C,720XP,690861
   1, 49,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 49,,,,,,,,01HTEH,,,W6070,auto,SG1BHCAL00025,H,720XP,690861
   1, 49,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 49,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 50,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 50,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00006,C,720XP,708350
   1, 50,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 50,2.00,76,MBH,6,TSH,41.24,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 50,1.11,36,MBM,210,TSH,41.24,,01HTEH,HR,,L7871,resolution,SG1BHCAL00026,H,720XP,708350
   1, 51,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 51,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 51,,,,,,,,01HTEH,,,W9098,auto,SG1BHCAL00026,H,720XP,708350
   1, 51,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00006,C,720XP,708350
   1, 51,4.02,92,INR,6,03H,9.34,,07HTEH,,,C9309,resolution,SG1BHCAL00018,H,720HS,707230
   1, 52,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 52,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 52,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00005,C,720XP,690861
   1, 52,2.25,86,MBH,6,TSH,26.14,,07HTEH,,,W9098,auto,SG1BHCAL00017,H,720HS,707232
   1, 52,0.43,132,MBM,126,TSH,26.29,,01HTEH,HR,,L7871,resolution,SG1BHCAL00025,H,720XP,690861
   1, 53,,,,,,,,07HTEH,,,S7752,auto,SG1BHCAL00017,H,720HS,707232
   1, 53,,,,,,,,01HTEH,,,W6070,auto,SG1BHCAL00025,H,720XP,690861
   1, 53,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00005,C,720XP,690861
   1, 53,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 53,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 54,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1, 54,,,,,,,,01HTEH,,,W9098,auto,SG1BHCAL00026,H,720XP,708350
   1, 54,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00006,C,720XP,708350
   1, 54,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 54,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 55,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00006,C,720XP,708350
   1, 55,,,,,,,,01HTEH,,,W9098,auto,SG1BHCAL00026,H,720XP,708350
   1, 55,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00013,C,720UC,659855
   1, 55,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1, 55,,,,,,,,07HTEH,,,S7752,auto,SG1BHCAL00018,H,720HS,707230
   1, 56,,,,,,,,01CTEC,,,S7752,auto,SG1BCCAL00006,C,720XP,708350
   1, 56,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1, 56,,,,,,,,01HTEH,,,W6070,auto,SG1BHCAL00025,H,720XP,690861
   1, 56,0.37,149,INR,3,TSH,3.08,,07HTEH,,,C9309,resolution,SG1BHCAL00018,H,720HS,707230
   1, 56,0.25,115,NQH,3,TSC,2.66,,07CTEC,,,W6070,auto,SG1BCCAL00014,C,720UC,659856
   1, 57,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
